"SKU","Name","On Hand","Available","Customs Description","Tariff Code","Customs Value","Price","Warehouse Product Price","Barcode","Warehouse"
"57004517032318","Men's Ring+Cuff+Bracelet Bundle Silver / Gold / Black","0","0","Men's Ring+Cuff+Bracelet Bundle Silver / Gold / Black","0","0.0000","69.0000","69.0000","775047439","Vareya BV / Primary"
"57004516999550","Men's Ring+Cuff+Bracelet Bundle Silver / Gold / Gold","0","0","Men's Ring+Cuff+Bracelet Bundle Silver / Gold / Gold","0","0.0000","69.0000","69.0000","775072772","Vareya BV / Primary"
"57004516966782","Men's Ring+Cuff+Bracelet Bundle Silver / Gold / Silver","0","0","Men's Ring+Cuff+Bracelet Bundle Silver / Gold / Silver","0","0.0000","69.0000","69.0000","775047306","Vareya BV / Primary"
"57004516934014","Men's Ring+Cuff+Bracelet Bundle Silver / Silver / Black","0","0","Men's Ring+Cuff+Bracelet Bundle Silver / Silver / Black","0","0.0000","69.0000","69.0000","775072739","Vareya BV / Primary"
"57004516901246","Men's Ring+Cuff+Bracelet Bundle Silver / Silver / Gold","0","0","Men's Ring+Cuff+Bracelet Bundle Silver / Silver / Gold","0","0.0000","69.0000","69.0000","775043552","Vareya BV / Primary"
"57004516868478","Men's Ring+Cuff+Bracelet Bundle Silver / Silver / Silver","0","0","Men's Ring+Cuff+Bracelet Bundle Silver / Silver / Silver","0","0.0000","69.0000","69.0000","775062820","Vareya BV / Primary"
"57004501795198","Men's Cuff+Bracelet Bundle Black / Black","0","0","Men's Cuff+Bracelet Bundle Black / Black","0","0.0000","47.0000","47.0000","775045643","Vareya BV / Primary"
"57004501762430","Men's Cuff+Bracelet Bundle Black / Gold","0","0","Men's Cuff+Bracelet Bundle Black / Gold","0","0.0000","47.0000","47.0000","775062128","Vareya BV / Primary"
"57004501729662","Men's Cuff+Bracelet Bundle Black / Silver","0","0","Men's Cuff+Bracelet Bundle Black / Silver","0","0.0000","47.0000","47.0000","775045823","Vareya BV / Primary"
"57004501696894","Men's Cuff+Bracelet Bundle Gold / Black","0","0","Men's Cuff+Bracelet Bundle Gold / Black","0","0.0000","47.0000","47.0000","775062114","Vareya BV / Primary"
"57004501664126","Men's Cuff+Bracelet Bundle Gold / Gold","0","0","Men's Cuff+Bracelet Bundle Gold / Gold","0","0.0000","47.0000","47.0000","775045671","Vareya BV / Primary"
"57004501631358","Men's Cuff+Bracelet Bundle Gold / Silver","0","0","Men's Cuff+Bracelet Bundle Gold / Silver","0","0.0000","47.0000","47.0000","775072125","Vareya BV / Primary"
"57004501598590","Men's Cuff+Bracelet Bundle Silver / Black","0","0","Men's Cuff+Bracelet Bundle Silver / Black","0","0.0000","47.0000","47.0000","775045609","Vareya BV / Primary"
"57004501565822","Men's Cuff+Bracelet Bundle Silver / Gold","0","0","Men's Cuff+Bracelet Bundle Silver / Gold","0","0.0000","47.0000","47.0000","775072139","Vareya BV / Primary"
"57004501533054","Men's Cuff+Bracelet Bundle Silver / Silver","0","0","Men's Cuff+Bracelet Bundle Silver / Silver","0","0.0000","47.0000","47.0000","775042851","Vareya BV / Primary"
